Date,AAPL,GE,GOOGL,IBM,KO,MSFT,PEP
2010-10-06,38.259396,14.124016,267.442447,121.837666,25.640635,21.00455,58.358911
2010-10-07,38.263363,14.249377,265.270267,122.615508,25.486276,21.090529,56.636675
2010-10-08,38.905009,14.30788,268.443454,122.730421,25.473414,21.124919,56.336784
2010-10-11,39.075677,14.17416,269.689701,123.446383,25.53773,21.142115,56.13971
2010-10-12,39.496385,14.366382,270.965976,123.614327,25.55488,21.348463,56.619541
2010-10-13,39.708064,14.441599,271.92194,124.073949,25.700663,21.786954,56.893727
2010-10-14,39.995149,14.341309,270.735752,125.072767,25.6878,21.692377,57.099365
2010-10-15,41.63962,13.622572,301.026035,124.683846,25.700663,21.958912,57.133639
2010-10-18,42.070912,13.580785,309.164158,126.248365,25.72639,22.199651,56.979409
2010-10-19,40.945053,13.430352,304.219212,122.005611,25.872173,21.580606,56.045464
2010-10-20,41.082643,13.413636,304.294285,122.924881,26.21948,21.76116,55.668455
2010-10-21,40.949023,13.455424,306.301304,123.596645,26.356687,21.855737,55.84839
2010-10-22,40.677811,13.421994,306.571568,123.455217,26.416715,21.821345,55.702729
2010-10-25,40.859058,13.421994,308.558567,123.605479,26.15945,21.657987,55.737004
2010-10-26,40.754542,13.505568,309.609623,124.339123,26.258069,22.268433,55.514225
2010-10-27,40.725439,13.463782,308.543553,125.010888,26.236629,22.397401,55.068668
2010-10-28,40.382784,13.438709,309.599613,124.542418,26.245205,22.595152,55.702729
2010-10-29,39.819193,13.388565,307.157169,126.928976,26.29237,22.930468,55.951212
2010-11-01,40.242547,13.330063,307.807804,126.681484,26.459592,23.171209,56.16542
2010-11-02,40.927855,13.321705,308.108097,127.141105,26.523908,23.549513,56.379628
2010-11-03,41.382962,13.421994,310.400395,127.432796,26.562498,23.239991,55.865523
2010-11-04,42.106635,13.798078,312.447453,129.748627,26.776884,23.334567,55.99405
2010-11-05,41.955815,13.98194,312.852848,129.863539,26.832625,23.08523,55.762707
2010-11-08,42.152939,13.965225,313.698704,130.032228,26.781171,23.050838,55.788411
2010-11-09,41.8169,13.89001,312.722721,129.748114,26.858351,23.171209,55.951212
2010-11-10,42.074883,13.831507,311.751744,130.11213,26.819761,23.162611,55.908368
2010-11-11,41.89231,13.66436,308.903904,129.117746,26.926954,22.939066,55.608477
2010-11-12,40.751896,13.580785,301.946964,127.617317,26.978407,22.586554,55.385699
2010-11-15,40.620923,13.538999,298.033024,127.528528,26.995558,22.52637,55.197194
2010-11-16,39.899895,13.254846,292.152164,126.285566,26.618239,22.327404,54.8716
2010-11-17,39.755689,13.21306,292.067081,126.028086,26.806898,22.119787,54.785915
2010-11-18,40.804816,13.40528,298.578587,128.16777,27.372879,22.353356,55.497085
2010-11-19,40.579911,13.555712,295.710728,128.780378,27.57869,22.223596,55.445677
2010-11-22,41.457047,13.396923,295.905918,129.082239,27.55725,22.258198,55.437107
2010-11-23,40.844507,13.171272,291.796787,127.120119,27.278548,21.730508,54.743074
2010-11-24,41.647558,13.321705,297.78278,129.455127,27.703034,21.946775,55.120083
2010-11-26,41.674018,13.204702,295.295292,127.75936,27.488648,21.842966,54.751644
2010-11-29,41.921416,13.346778,291.346348,126.862653,27.367761,21.89487,54.845896
2010-11-30,41.16467,13.229774,278.133152,125.593056,27.272779,21.851617,55.377129
2010-12-01,41.859236,13.622572,282.457462,128.212165,27.933335,22.52637,56.654732
2010-12-02,42.090759,13.940154,286.196201,128.895787,28.019684,23.261677,56.283537
2010-12-03,41.996826,14.023728,286.786777,129.073365,27.846989,23.374137,56.257641
2010-12-06,42.355355,13.956869,289.469486,128.72711,27.626804,23.218424,55.877818
2010-12-07,42.098697,14.232663,293.863865,127.86591,27.691563,23.244377,55.834653
2010-12-08,42.46913,14.241021,295.565556,128.718223,27.799498,23.5558,55.791488
2010-12-09,42.303759,14.316236,296.046055,128.114502,27.989463,23.42604,55.869183
2010-12-10,42.409597,14.809323,296.401402,128.57618,27.91175,23.650958,56.024568
2010-12-13,42.556449,14.725751,297.607609,128.096742,27.998096,23.573102,56.568409
2010-12-14,42.373877,14.784252,297.75275,129.464014,27.587948,23.893178,56.620202
2010-12-15,42.383136,14.617103,295.445438,128.487391,27.950605,24.092143,56.318068
2010-12-16,42.500883,14.851111,296.151157,128.336461,28.209646,24.213252,56.758324
2010-12-17,42.416213,14.79261,295.695713,128.735984,28.365071,24.135396,56.948239
2010-12-20,42.627889,14.79261,297.827824,128.30094,28.196694,24.057539,57.241739
2010-12-21,42.891163,14.959757,301.836826,129.392986,28.274407,24.282457,56.45619
2010-12-22,43.018169,15.212455,303.048039,129.579424,28.31758,24.386266,56.697897
2010-12-23,42.811786,15.19561,302.417423,129.526156,28.313265,24.481423,56.706532
2010-12-27,42.954668,15.321959,301.491489,129.037844,28.093078,24.282457,56.473452
2010-12-28,43.059185,15.431461,299.759769,129.366352,28.218282,24.230554,56.352598
2010-12-29,43.03537,15.389345,300.800816,130.085496,28.257137,24.19595,56.395763
2010-12-30,42.819724,15.321959,299.72974,130.218665,28.278725,24.092143,56.214483
2010-12-31,42.674196,15.406192,297.282291,130.298567,28.395292,24.144047,56.395763
2011-01-03,43.601607,15.397769,302.477482,130.937809,28.157839,24.204601,56.758324
2011-01-04,43.829162,15.675737,301.361363,131.079866,27.574995,24.299759,56.464824
2011-01-05,44.18769,15.701006,304.839848,130.556047,27.410936,24.221903,57.483446
2011-01-06,44.151967,15.63362,307.057072,131.985461,27.212336,24.931258,57.699257
2011-01-07,44.468162,15.524118,308.528538,131.337332,27.164845,24.740944,57.3108
2011-01-10,45.305611,15.591504,307.412419,131.079866,27.225289,24.412217,57.0173
2011-01-11,45.198449,15.692582,308.313328,130.760245,27.065546,24.317061,57.259008
2011-01-12,45.56624,15.726276,308.743748,132.37611,27.216654,24.69769,57.604307
2011-01-13,45.732936,15.667314,308.65366,132.127517,27.37208,24.386266,57.759691
2011-01-14,46.10337,15.852625,312.402409,133.175156,27.255511,24.481423,57.647465
2011-01-18,45.067475,15.667314,320.135136,133.752242,27.406618,24.792848,57.466184
2011-01-19,44.828015,15.439884,316.191197,138.226935,27.380713,24.628484,56.887812
2011-01-20,44.013055,15.524118,313.698704,138.324598,27.169163,24.524677,56.887812
2011-01-21,43.224556,16.627568,306.221226,138.058245,27.100085,24.239205,56.861916
2011-01-24,44.644118,16.880267,305.84586,141.725005,27.307318,24.550628,57.12952
2011-01-25,45.166696,16.829726,310.265263,143.331983,27.182115,24.611184,56.775586
2011-01-26,45.49083,16.779187,308.558567,142.976841,27.182115,24.896656,56.853282
2011-01-27,45.406157,17.082426,308.703709,143.003489,27.069864,24.974513,56.594306
2011-01-28,44.465516,17.01504,300.795811,141.352116,26.858312,24.005636,55.592945
2011-01-31,44.891516,16.964499,300.480473,143.829168,27.134623,23.988334,55.51525
2011-02-01,45.646942,17.520436,305.82584,145.214187,27.220971,24.213252,56.154056
2011-02-02,45.553009,17.444626,306.306309,144.983355,27.138942,24.169999,55.808757
2011-02-03,45.436588,17.47832,305.380375,145.187553,27.013738,23.919129,55.403031
2011-02-04,45.84142,17.318277,305.795811,145.604837,27.009421,24.022938,55.109527
2011-02-07,46.553184,17.5794,307.452458,146.332867,26.992151,24.394917,54.971408
2011-02-08,46.992418,17.924755,309.499516,148.008606,27.143258,24.464122,55.394396
2011-02-09,47.38402,17.950023,308.558567,146.760708,27.264146,24.19595,55.610207
2011-02-10,46.905099,17.916331,308.528538,146.261555,27.432522,23.789369,54.69517
2011-02-11,47.21071,17.96687,312.562565,146.04764,27.445474,23.573102,55.135424
2011-02-14,47.518964,18.110066,314.389408,145.486085,27.259827,23.5558,54.677905
2011-02-15,47.614221,18.076372,312.387394,145.147368,27.281414,23.46008,55.549781
2011-02-16,48.041542,18.059527,312.422428,145.646521,27.37208,23.512292,55.213116
2011-02-17,47.402542,18.126913,312.942936,146.395265,27.868577,23.677625,55.851915
2011-02-18,46.378553,18.059527,315.355351,146.930067,27.868577,23.547098,54.738332
2011-02-22,44.797584,17.537283,305.410404,144.354067,27.527503,23.138114,54.51389
2011-02-23,45.3281,17.158236,305.965977,142.776375,27.592264,23.138114,54.323975
2011-02-24,45.362499,17.45509,304.714726,143.302281,27.579313,23.294746,54.410298
2011-02-25,46.061037,17.658648,305.325321,144.648214,27.764958,23.103306,54.902347
2011-02-28,46.729143,17.743464,307.007023,144.29168,27.596581,23.129412,54.746963
2011-03-01,46.213178,17.175198,300.680698,142.589199,28.024002,22.763935,54.565682
2011-03-02,46.584936,17.234569,300.695713,142.758557,27.816767,22.694321,54.748349
2011-03-03,47.569238,17.599277,305.085087,145.717831,28.308946,22.798743,55.452929
2011-03-04,47.627448,17.276978,300.6106,144.24711,28.153521,22.581198,55.148482
2011-03-07,47.013583,17.285458,296.126133,142.553537,28.157839,22.381055,55.209372
